Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
221101_12,VF112222_112524,Day1_Trial6,Chamber2,,,White House Light,94,277,92.33,92.33,3.02,0,332,APOE44,male,Exercise,Control,,19.4
221101_13,VF112222_113441,Day1_Trial7,Chamber1,,,White House Light,16,295,98.33,98.33,0.43,0,76,APOE22HN,female,Sedentary,Control,,15.66666667
221101_14,VF112222_113441,Day1_Trial7,Chamber2,,,White House Light,78,272.833,90.94,90.94,2.95,0,385,APOE22HN,female,Sedentary,Control,,15.66666667
221101_15,VF112222_114349,Day1_Trial8,Chamber1,,,White House Light,29,294.333,98.11,98.11,0.53,0,99,APOE22HN,male,Sedentary,Control,,15.66666667
221101_16,VF112222_114349,Day1_Trial8,Chamber2,,,White House Light,44,287.3,95.77,95.77,1.24,0,311,APOE22HN,male,Sedentary,Control,,15.66666667
221101_17,VF112222_115257,Day1_Trial9,Chamber1,,,White House Light,25,288,96,96,3.09,0,476,APOE22HN,male,Sedentary,Control,,15.66666667
221101_18,VF112222_115257,Day1_Trial9,Chamber2,,,White House Light,98,223.833,74.61,74.61,10.91,0,536,APOE22HN,male,Sedentary,Control,,15.66666667
221101_19,VF112222_120205,Day1_Trial10,Chamber1,,,White House Light,19,291.5,97.17,97.17,1.26,0,275,APOE22HN,male,Sedentary,Control,,15.66666667
221101_20,VF112222_120205,Day1_Trial10,Chamber2,,,White House Light,158,155.633,51.88,51.88,16.57,0,709,APOE44HN,female,Exercise,Control,28,18.1
221101_21,VF112222_121210,Day1_Trial11,Chamber1,,,White House Light,29,285.667,95.22,95.22,2,0,191,APOE44HN,female,Exercise,Control,,18.1
221101_22,VF112222_121210,Day1_Trial11,Chamber2,,,White House Light,124,219.2,73.07,73.07,7.83,0,297,APOE44HN,female,Exercise,Control,16,18.1
221101_23,VF112222_122107,Day1_Trial12,Chamber1,,,White House Light,3,299.7,99.9,99.9,0.04,0,72,APOE44HN,female,Exercise,Control,27,18.1
221101_24,VF112222_122107,Day1_Trial12,Chamber2,,,White House Light,106,259.967,86.66,86.66,3.5,0,245,APOE44HN,female,Exercise,Control,23,18.1
