Animal ID,context_memory_day1_freezing,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,day0_sound1_freezing,day0_sound2_freezing,day0_sound3_freezing,learning_slope_sound1_to_3,learning_intercept,learning_r,learning_p,learning_mean_sound1_to_3,learning_auc_sound1_to_3,learning_delta_sound3_minus_sound1,day2_acclimation_freezing,day2_cstone_freezing,day2_exploration_freezing,cue_memory_delta_cstone_minus_acclimation,cue_memory_delta_cstone_minus_exploration,baseline_day0_sound1_freezing,baseline_day2_acclimation_freezing,PHENO_learning,PHENO_context_memory,PHENO_cue_memory,PHENO_cue_memory_vs_exploration
211004_19,99.02,APOE44,male ,Sedentary,Control,31.0,19.67,16.78,5.33,56.0,19.61,-13.183333333333334,0.7379659053511756,0.47157301138925284,26.036666666666665,41.72,39.22,22.91,24.88,7.94,1.9699999999999989,16.939999999999998,16.78,22.91,19.61,99.02,1.9699999999999989,16.939999999999998
211004_2,92.94,APOE33,male ,Sedentary,Control,36.3,13.17,1.33,32.67,86.56,42.615,-45.04333333333334,0.9885333480158514,0.0965004422851355,40.18666666666667,76.61500000000001,85.23,23.41,35.41,2.1,11.999999999999996,33.309999999999995,1.33,23.41,42.615,92.94,11.999999999999996,33.309999999999995
211004_20,94.74,APOE44,female ,Sedentary,Control,29.3,19.67,12.11,35.67,73.33,30.61,-20.85,0.9912745647689312,0.08415985154837907,40.37,78.39,61.22,24.94,33.27,10.72,8.330000000000002,22.550000000000004,12.11,24.94,30.61,94.74,8.330000000000002,22.550000000000004
211004_21,99.53,APOE44HN,male ,Sedentary,Control,29.2,19.17,4.56,1.44,20.0,7.72,-6.773333333333333,0.7768041116946119,0.4336790322616663,8.666666666666666,13.72,15.440000000000001,11.74,13.97,4.76,2.2300000000000004,9.21,4.56,11.74,7.72,99.53,2.2300000000000004,9.21
211004_3,92.03,APOE33,male ,Sedentary,Control,37.2,12.77,25.0,31.89,91.78,33.39,-17.22333333333333,0.9091057376201864,0.2735326427020168,49.55666666666667,90.28,66.78,15.24,39.93,1.24,24.689999999999998,38.69,25.0,15.24,33.39,92.03,24.689999999999998,38.69
211004_5,96.98,APOE44,female ,Sedentary,Control,29.3,19.67,1.33,29.56,38.11,18.39,-13.780000000000001,0.955447413643445,0.1907468291475446,23.0,49.28,36.78,1.48,24.0,2.21,22.52,21.79,1.33,1.48,18.39,96.98,22.52,21.79
211004_9,99.3,APOE33,female,Sedentary,HFD,42.6,13.73,13.89,82.56,90.67,38.39,-14.406666666666666,0.9100790015801203,0.27204143062299563,62.373333333333335,134.84,76.78,16.04,59.42,15.44,43.38,43.980000000000004,13.89,16.04,38.39,99.3,43.38,43.980000000000004
211122_1,90.84,APOE22HN,female ,Sedentary,HFD,37.0,14.33,15.33,24.89,73.56,29.115000000000002,-20.303333333333335,0.932354889297145,0.23550082066513492,37.92666666666667,69.33500000000001,58.230000000000004,12.67,19.72,6.56,7.049999999999999,13.16,15.33,12.67,29.115000000000002,90.84,7.049999999999999,13.16
211122_10,83.92,APOE22HN,male,Sedentary,Control,31.0,14.63,3.89,7.22,30.56,13.334999999999999,-12.779999999999998,0.9176086016085574,0.2602339741903913,13.89,24.445,26.669999999999998,19.52,20.27,2.11,0.75,18.16,3.89,19.52,13.334999999999999,83.92,0.75,18.16
211122_11,83.66,APOE22HN,male,Sedentary,Control,31.0,14.63,9.0,61.78,76.0,33.5,-18.07333333333333,0.9489833163746965,0.20422791517614738,48.92666666666667,104.28,67.0,9.35,41.42,3.5,32.07,37.92,9.0,9.35,33.5,83.66,32.07,37.92
211122_12,76.8,APOE22HN,male,Sedentary,Control,30.0,14.63,0.0,9.67,59.22,29.61,-36.25666666666666,0.9320326933463297,0.23606750398390633,22.963333333333335,39.28,59.22,8.61,37.54,2.81,28.93,34.73,0.0,8.61,29.61,76.8,28.93,34.73
211122_13,94.91,APOE22HN,male,Sedentary,Control,33.0,14.5,37.33,50.56,87.22,24.945,8.480000000000004,0.965150954536367,0.16856209859371193,58.370000000000005,112.83500000000001,49.89,26.61,50.71,8.21,24.1,42.5,37.33,26.61,24.945,94.91,24.1,42.5
211122_14,55.48,APOE22HN,male,Sedentary,Control,31.0,14.5,1.33,29.67,50.22,24.445,-21.816666666666666,0.9957952738320742,0.05840046044336339,27.073333333333334,55.445,48.89,0.19,25.32,1.33,25.13,23.990000000000002,1.33,0.19,24.445,55.48,25.13,23.990000000000002
211122_15,95.07,APOE22HN,male,Sedentary,Control,29.0,14.43,0.0,59.33,37.67,18.835,-5.336666666666666,0.627355250061104,0.5682748210504288,32.333333333333336,78.16499999999999,37.67,8.19,36.05,5.28,27.86,30.769999999999996,0.0,8.19,18.835,95.07,27.86,30.769999999999996
211122_16,47.27,APOE22HN,male,Sedentary,Control,32.0,14.47,5.0,6.78,49.67,22.335,-24.186666666666667,0.883083511076267,0.3109267510718895,20.483333333333334,34.115,44.67,0.0,8.38,1.44,8.38,6.940000000000001,5.0,0.0,22.335,47.27,8.38,6.940000000000001
211122_2,77.0,APOE22HN,female ,Sedentary,HFD,38.0,14.33,9.22,26.0,54.89,22.835,-15.633333333333336,0.9884834647260268,0.09671052079093481,30.036666666666665,58.055,45.67,5.31,30.38,3.7,25.07,26.68,9.22,5.31,22.835,77.0,25.07,26.68
211122_23,80.99,APOE22HN,male,Sedentary,Control,31.0,20.83,2.0,84.89,85.56,41.78,-26.076666666666675,0.8694902260325326,0.32889495093549426,57.48333333333333,128.67,83.56,0.26,23.81,1.51,23.549999999999997,22.299999999999997,2.0,0.26,41.78,80.99,23.549999999999997,22.299999999999997
211122_24,89.26,APOE22HN,male,Sedentary,Control,31.0,19.63,1.67,25.22,40.33,19.33,-16.25333333333333,0.9921499478383355,0.07982076848425113,22.406666666666666,46.22,38.66,23.41,33.69,4.2,10.279999999999998,29.49,1.67,23.41,19.33,89.26,10.279999999999998,29.49
211122_25,98.13,APOE22HN,male,Sedentary,Control,33.0,19.67,14.22,27.0,67.0,26.39,-16.70666666666667,0.9584166186791596,0.184234763176743,36.07333333333333,67.61,52.78,42.94,31.38,5.67,-11.559999999999999,25.71,14.22,42.94,26.39,98.13,-11.559999999999999,25.71
211122_26,77.57,APOE22HN,female ,Sedentary,Control,32.0,19.67,0.0,16.33,66.22,33.11,-38.70333333333333,0.9597592395179657,0.18121553989886585,27.516666666666666,49.44,66.22,1.2,4.3,1.43,3.0999999999999996,2.87,0.0,1.2,33.11,77.57,3.0999999999999996,2.87
211122_27,96.97,APOE22HN,female ,Sedentary,Control,27.0,19.67,27.33,52.89,86.11,29.39,-3.336666666666673,0.997181564798592,0.04780806907959712,55.44333333333333,109.61,58.78,20.94,31.71,2.14,10.77,29.57,27.33,20.94,29.39,96.97,10.77,29.57
