Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,Connectome_File
230605_23,VF062723_114609,Day1_Trial11,Chamber2,,,White House Light,30,293.033,97.68,97.68,0.65,0,308,APOE33,male,Exercise,Control,31,14.76666667,FC_A23060523.csv
230605_24,VF062723_115445,Day1_Trial12,Chamber1,,,White House Light,34,275.667,91.89,91.89,3.4,0,278,APOE33,male,Exercise,Control,29,14.76666667,FC_A23060524.csv
230605_25,VF062723_115445,Day1_Trial12,Chamber2,,,White House Light,6,298.267,99.42,99.42,0.12,0,71,APOE33,male,Exercise,Control,31,14.76666667,FC_A23060525.csv
230213_1,VF030723_094553,Day1_Trial1,Chamber1,,,White House Light,50,284.233,94.74,94.74,1.95,0,102,APOE22,male,Sedentary,Control,31,19.63333333,FC_A23021301.csv
230213_2,VF030723_094553,Day1_Trial1,Chamber2,,,White House Light,124,231.333,77.11,77.11,5.7,0,229,APOE22,male,Sedentary,Control,27,19.63333333,FC_A23021302.csv
230213_3,VF030723_095559,Day1_Trial2,Chamber1,,,White House Light,35,278.1,92.7,92.7,2.48,0,214,APOE22,male,Sedentary,Control,,19.63333333,FC_A23021303.csv
230213_4,VF030723_095559,Day1_Trial2,Chamber2,,,White House Light,89,260.367,86.79,86.79,3.64,0,175,APOE22,male,Sedentary,Control,32,19.63333333,FC_A23021304.csv
230213_5,VF030723_100423,Day1_Trial3,Chamber1,,,White House Light,58,259.6,86.53,86.53,8.05,0,418,APOE22,male,Sedentary,Control,29,19.63333333,FC_A23021305.csv
230213_6,VF030723_100423,Day1_Trial3,Chamber2,,,White House Light,74,270.6,90.2,90.2,7.24,0,4523,APOE44,male,Sedentary,Control,28,19.53333333,FC_A23021306.csv
230213_7,VF030723_101304,Day1_Trial4,Chamber1,,,White House Light,73,255.133,85.04,85.04,6.44,0,308,APOE44,male,Sedentary,Control,30,19.56666667,FC_A23021307.csv
230213_8,VF030723_101304,Day1_Trial4,Chamber2,,,White House Light,78,280,93.33,93.33,3.65,0,7545,APOE44,male,Sedentary,Control,27,19.56666667,FC_A23021308.csv
